IM0111,1,Eastern highlands moist deciduous forests
IM0112,1,Eastern Java-Bali montane rain forests
IM0113,1,Eastern Java-Bali rain forests
IM0114,1,Greater Negros-Panay rain forests
IM0115,1,Himalayan subtropical broadleaf forests
IM0116,1,Irrawaddy freshwater swamp forests
IM0117,1,Irrawaddy moist deciduous forests
IM0118,1,Jian Nan subtropical evergreen forests
IM0119,1,Kayah-Karen montane rain forests
IM0120,1,Lower Gangetic Plains moist deciduous forests
IM0121,1,Luang Prabang montane rain forests
IM0122,1,Luzon montane rain forests
IM0123,1,Luzon rain forests
IM0124,1,Malabar Coast moist forests
IM0125,1,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests
IM0126,1,Meghalaya subtropical forests
IM0127,1,Mentawai Islands rain forests
IM0128,1,Mindanao montane rain forests
IM0129,1,Mindanao-Eastern Visayas rain forests
IM0130,1,Mindoro rain forests
IM0131,1,Mizoram-Manipur-Kachin rain forests
IM0132,1,Myanmar coastal rain forests
IM0133,1,Nicobar Islands rain forests
IM0134,1,North Western Ghats moist deciduous forests
IM0135,1,North Western Ghats montane rain forests
IM0136,1,Northern Annamites rain forests
IM0137,1,Northern Indochina subtropical forests
IM0138,1,Northern Khorat Plateau moist deciduous forests
IM0139,1,Northern Thailand-Laos moist deciduous forests
IM0140,1,Northern Triangle subtropical forests
IM0141,1,Northern Vietnam lowland rain forests
IM0142,1,Orissa semi-evergreen forests
IM0143,1,Palawan rain forests
IM0144,1,Peninsular Malaysian montane rain forests
IM0145,1,Peninsular Malaysian peat swamp forests
IM0146,1,Peninsular Malaysian rain forests
IM0147,1,Red River freshwater swamp forests
IM0148,1,South China Sea Islands
IM0149,1,South China-Vietnam subtropical evergreen forests
IM0150,1,South Western Ghats moist deciduous forests
IM0151,1,South Western Ghats montane rain forests
IM0152,1,Southern Annamites montane rain forests
IM0153,1,Southwest Borneo freshwater swamp forests
IM0154,1,Sri Lanka lowland rain forests
IM0155,1,Sri Lanka montane rain forests
IM0156,1,Sulu Archipelago rain forests
IM0157,1,Sumatran freshwater swamp forests
IM0158,1,Sumatran lowland rain forests
IM0159,1,Sumatran montane rain forests
IM0160,1,Sumatran peat swamp forests
IM0161,1,Sundaland heath forests
IM0162,1,Sundarbans freshwater swamp forests
IM0163,1,Tenasserim-South Thailand semi-evergreen rain forests
IM0164,1,Tonle Sap freshwater swamp forests
IM0165,1,Tonle Sap-Mekong peat swamp forests
IM0166,1,Upper Gangetic Plains moist deciduous forests
IM0167,1,Western Java montane rain forests
IM0168,1,Western Java rain forests
IM0169,1,Hainan Island monsoon rain forests
IM0170,1,Nansei Islands subtropical evergreen forests
IM0171,1,South Taiwan monsoon rain forests
IM0172,1,Taiwan subtropical evergreen forests
IM0201,2,Central Deccan Plateau dry deciduous forests
IM0202,2,Central Indochina dry forests
IM0203,2,Chhota-Nagpur dry deciduous forests
IM0204,2,East Deccan dry-evergreen forests
IM0205,2,Irrawaddy dry forests
IM0206,2,Khathiar-Gir dry deciduous forests
IM0207,2,Narmada Valley dry deciduous forests
IM0208,2,Northern dry deciduous forests
IM0209,2,South Deccan Plateau dry deciduous forests
IM0210,2,Southeastern Indochina dry evergreen forests
IM0211,2,Southern Vietnam lowland dry forests
IM0212,2,Sri Lanka dry-zone dry evergreen forests 
IM0301,3,Himalayan subtropical pine forests
IM0302,3,Luzon tropical pine forests
IM0303,3,Northeast India-Myanmar pine forests
IM0304,3,Sumatran tropical pine forests 
IM0401,4,Eastern Himalayan broadleaf forests
IM0402,4,Northern Triangle temperate forests
IM0403,4,Western Himalayan broadleaf forests 
IM0501,5,Eastern Himalayan subalpine conifer forests
IM0502,5,Western Himalayan subalpine conifer forests 
IM0701,7,Terai-Duar savanna and grasslands 
IM0901,9,Rann of Kutch seasonal salt marsh 
IM1001,10,Kinabalu montane alpine meadows
IM1301,13,Deccan thorn scrub forests
IM1302,13,Indus Valley desert
IM1303,13,Northwestern thorn scrub forests
IM1304,13,Thar desert 
IM1401,14,Goadavari-Krishna mangroves
IM1402,14,Indochina mangroves
IM1403,14,Indus River Delta-Arabian Sea mangroves
IM1404,14,Myanmar Coast mangroves
IM1405,14,Sunda Shelf mangroves
IM1406,14,Sundarbans mangroves 
NA0201,2,Sonoran-Sinaloan transition subtropical dry forest 
NA0301,3,Bermuda subtropical conifer forests
NA0302,3,Sierra Madre Occidental pine-oak forests
NA0303,3,Sierra Madre Oriental pine-oak forests 
NA0401,4,Allegheny Highlands forests
NA0402,4,Appalachian mixed mesophytic forests
NA0403,4,Appalachian-Blue Ridge forests
NA0404,4,Central U.S. hardwood forests
NA0405,4,East Central Texas forests
NA0406,4,Eastern forest-boreal transition
NA0407,4,Eastern Great Lakes lowland forests
NA0408,4,Gulf of St. Lawrence lowland forests
NA0409,4,Mississippi lowland forests
NA0410,4,New England-Acadian forests
NA0411,4,Northeastern coastal forests
NA0412,4,Ozark Mountain forests
NA0413,4,Southeastern mixed forests
NA0414,4,Southern Great Lakes forests
NA0415,4,Upper Midwest forest-savanna transition
NA0416,4,Western Great Lakes forests
NA0417,4,Willamette Valley forests 
NA0501,5,Alberta Mountain forests
NA0502,5,Alberta-British Columbia foothills forests
NA0503,5,Arizona Mountains forests
NA0504,5,Atlantic coastal pine barrens
NA0505,5,Blue Mountains forests
NA0506,5,British Columbia mainland coastal forests
NA0507,5,Cascade Mountains leeward forests
NA0508,5,Central and Southern Cascades forests
NA0509,5,Central British Columbia Mountain forests
NA0510,5,Central Pacific coastal forests
NA0511,5,Colorado Rockies forests
NA0512,5,Eastern Cascades forests
NA0513,5,Florida sand pine scrub
NA0514,5,Fraser Plateau and Basin complex
NA0515,5,Great Basin montane forests
NA0516,5,Klamath-Siskiyou forests
NA0517,5,Middle Atlantic coastal forests
NA0518,5,North Central Rockies forests
NA0519,5,Northern California coastal forests
NA0520,5,Northern Pacific coastal forests
NA0521,5,Northern transitional alpine forests
NA0522,5,Okanogan dry forests
NA0523,5,Piney Woods forests
NA0524,5,Puget lowland forests
NA0525,5,Queen Charlotte Islands
NA0526,5,Sierra Juarez and San Pedro Martir pine-oak forests
NA0527,5,Sierra Nevada forests
NA0528,5,South Central Rockies forests
NA0529,5,Southeastern conifer forests
NA0530,5,Wasatch and Uinta montane forests 
NA0601,6,Alaska Peninsula montane taiga
NA0602,6,Central Canadian Shield forests
NA0603,6,Cook Inlet taiga
NA0604,6,Copper Plateau taiga
NA0605,6,Eastern Canadian forests
NA0606,6,Eastern Canadian Shield taiga
NA0607,6,Interior Alaska-Yukon lowland taiga
NA0608,6,Mid-Continental Canadian forests
NA0609,6,Midwestern Canadian Shield forests
NA0610,6,Muskwa-Slave Lake forests
NA0611,6,Newfoundland Highland forests
NA0612,6,Northern Canadian Shield taiga
NA0613,6,Northern Cordillera forests
NA0614,6,Northwest Territories taiga
NA0615,6,South Avalon-Burin oceanic barrens
NA0616,6,Southern Hudson Bay taiga
NA0617,6,Yukon Interior dry forests 
NA0701,7,Western Gulf coastal grasslands
NA0801,8,California Central Valley grasslands
NA0802,8,Canadian Aspen forests and parklands
NA0803,8,Central and Southern mixed grasslands
NA0804,8,Central forest-grasslands transition
NA0805,8,Central tall grasslands
NA0806,8,Edwards Plateau savanna
NA0807,8,Flint Hills tall grasslands
NA0808,8,Montana Valley and Foothill grasslands
NA0809,8,Nebraska Sand Hills mixed grasslands
NA0810,8,Northern mixed grasslands
NA0811,8,Northern short grasslands
NA0812,8,Northern tall grasslands
NA0813,8,Palouse grasslands
NA0814,8,Texas blackland prairies
NA0815,8,Western short grasslands
NA1101,11,Alaska-St. Elias Range tundra
NA1102,11,Aleutian Islands tundra
NA1103,11,Arctic coastal tundra
NA1104,11,Arctic foothills tundra
NA1105,11,Baffin coastal tundra
NA1106,11,Beringia lowland tundra
NA1107,11,Beringia upland tundra
NA1108,11,Brooks-British Range tundra
NA1109,11,Davis Highlands tundra
NA1110,11,High Arctic tundra
NA1111,11,Interior Yukon-Alaska alpine tundra
NA1112,11,Kalaallit Nunaat high arctic tundra
NA1113,11,Kalaallit Nunaat low arctic tundra
NA1114,11,Low Arctic tundra
NA1115,11,Middle Arctic tundra
NA1116,11,Ogilvie-MacKenzie alpine tundra
NA1117,11,Pacific Coastal Mountain icefields and tundra
NA1118,11,Torngat Mountain tundra 
NA1201,12,California coastal sage and chaparral
NA1202,12,California interior chaparral and woodlands
NA1203,12,California montane chaparral and woodlands 
NA1301,13,Baja California desert
NA1302,13,Central Mexican matorral
NA1303,13,Chihuahuan desert
NA1304,13,Colorado Plateau shrublands
NA1305,13,Great Basin shrub steppe
NA1306,13,Gulf of California xeric scrub
NA1307,13,Meseta Central matorral
NA1308,13,Mojave desert
NA1309,13,Snake-Columbia shrub steppe
NA1310,13,Sonoran desert
NA1311,13,Tamaulipan matorral
NA1312,13,Tamaulipan mezquital
NA1313,13,Wyoming Basin shrub steppe 
NA1401,14,Northwest Mexican Coast mangroves
NT0101,1,Araucaria moist forests
NT0102,1,Atlantic Coast restingas
NT0103,1,Bahia coastal forests
NT0104,1,Bahia interior forests
NT0105,1,Bolivian Yungas
NT0106,1,Caatinga Enclaves moist forests
NT0107,1,Caqueta moist forests
NT0108,1,Catatumbo moist forests
NT0109,1,Cauca Valley montane forests
NT0110,1,Cayos Miskitos-San Andrés and Providencia moist forests
NT0111,1,Central American Atlantic moist forests
NT0112,1,Central American montane forests
NT0113,1,Chiapas montane forests
NT0114,1,Chimalapas montane forests
NT0115,1,Chocó-Darién moist forests
NT0116,1,Cocos Island moist forests
NT0117,1,Cordillera La Costa montane forests
NT0118,1,Cordillera Oriental montane forests
NT0119,1,Costa Rican seasonal moist forests
NT0120,1,Cuban moist forests
NT0121,1,Eastern Cordillera real montane forests
NT0122,1,Eastern Panamanian montane forests
NT0123,1,Fernando de Noronha-Atol das Rocas moist forests
NT0124,1,Guayanan Highlands moist forests
NT0125,1,Guianan moist forests
NT0126,1,Gurupa varzea
NT0127,1,Hispaniolan moist forests
NT0128,1,Iquitos varzea
NT0129,1,Isthmian-Atlantic moist forests
NT0130,1,Isthmian-Pacific moist forests
NT0131,1,Jamaican moist forests
NT0132,1,Japurá-Solimoes-Negro moist forests
NT0133,1,Juruá-Purus moist forests
NT0134,1,Leeward Islands moist forests
